IP,Date,Time,Accepted cookies,Device type,Browser language,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
162.158.22.104,2023-09-21,09:11:10 UTC,["necessary"],mobile,en,Instagram,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.87.173,2023-09-21,09:26:21 UTC,["necessary"],mobile,en,Instagram,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.142.70,2023-09-21,09:36:51 UTC,["necessary"],mobile,en,Chrome,Android,Singapore,03,North West,Singapore,858877,1.352,103.8198
172.71.186.191,2023-09-21,09:41:44 UTC,["necessary"],mobile,en,Instagram,iOS,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.106.93,2023-09-21,10:22:56 UTC,["necessary"],mobile,en,Instagram,Android,Singapore,03,North West,Singapore,858877,1.352,103.8198
172.70.250.61,2023-09-21,10:38:40 UTC,["necessary"],desktop,en,Firefox,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.247.136,2023-09-21,11:00:44 UTC,["necessary"],desktop,en,Edge,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.69.150.175,2023-09-21,11:02:45 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.87.141,2023-09-21,11:37:21 UTC,["necessary"],mobile,en,Instagram,iOS,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.22.176,2023-09-21,11:39:23 UTC,["necessary"],mobile,en,Chrome,iOS,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.162.219,2023-09-21,11:40:57 UTC,["necessary"],mobile,en,Instagram,Android,Singapore,03,North West,Singapore,858877,1.352,103.8198
162.158.110.183,2023-09-21,12:13:49 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.251.214,2023-09-21,12:31:09 UTC,["necessary"],mobile,en,Instagram,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.71.250.130,2023-09-21,12:37:37 UTC,["necessary"],mobile,en,Instagram,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.22.100,2023-09-21,12:40:47 UTC,["necessary"],mobile,en,Instagram,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
172.70.243.98,2023-09-21,12:45:11 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.86.143,2023-09-21,12:46:50 UTC,["necessary"],desktop,en,Firefox,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.71.246.95,2023-09-21,13:11:33 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.111.170,2023-09-21,13:13:43 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.69.172.146,2023-09-21,13:16:54 UTC,["necessary"],desktop,en,Chrome,Windows,United Kingdom,SCT,Scotland,Edinburgh,,55.9532,-3.1882
162.158.22.176,2023-09-21,13:19:06 UTC,["necessary"],mobile,en,Instagram,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
172.70.250.61,2023-09-21,13:23:27 UTC,["necessary"],mobile,en,Instagram,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.69.179.129,2023-09-21,13:25:42 UTC,["necessary"],mobile,en,Instagram,Android,India,MH,Maharashtra,Mumbai,,19.0759,72.8776
172.71.186.98,2023-09-21,13:33:10 UTC,["necessary"],mobile,en,Instagram,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.22.101,2023-09-21,13:43:24 UTC,["necessary"],mobile,en,Instagram,iOS,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.22.181,2023-09-21,14:01:38 UTC,["necessary"],desktop,en,Chrome,OS X,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.106.228,2023-09-21,14:02:31 UTC,["necessary"],mobile,en,Instagram,Android,Singapore,03,North West,Singapore,858877,1.352,103.8198
108.162.226.101,2023-09-21,14:13:49 UTC,["necessary"],mobile,en,Instagram,Android,Singapore,03,North West,Singapore,858877,1.352,103.8198
162.158.22.104,2023-09-21,14:24:08 UTC,["necessary"],mobile,en,Instagram,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.22.180,2023-09-21,14:35:26 UTC,["necessary"],mobile,en,Instagram,iOS,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.54.228,2023-09-21,15:01:22 UTC,["necessary"],mobile,en,Instagram,Android,India,TN,Tamil Nadu,Chennai,,13.0826,80.2707
162.158.22.40,2023-09-21,15:24:42 UTC,["necessary"],mobile,en,Instagram,iOS,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.22.38,2023-09-21,16:07:44 UTC,["necessary"],mobile,en,Instagram,iOS,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
172.69.150.37,2023-09-21,16:09:05 UTC,["necessary"],desktop,en,Firefox,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.243.97,2023-09-21,16:14:52 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.110.26,2023-09-21,16:16:20 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.71.246.79,2023-09-21,16:21:35 UTC,["necessary"],desktop,en,Firefox,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.22.100,2023-09-21,16:23:53 UTC,["necessary"],mobile,en,Instagram,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
172.69.86.235,2023-09-21,16:39:34 UTC,["necessary"],mobile,en,Instagram,iOS,India,MH,Maharashtra,Mumbai,,19.0759,72.8776
162.158.22.130,2023-09-21,16:47:55 UTC,["necessary"],mobile,en,Instagram,iOS,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
172.70.251.53,2023-09-21,16:52:09 UTC,["necessary"],mobile,en,Instagram,iOS,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.22.38,2023-09-21,17:02:20 UTC,["necessary"],mobile,en,Chrome,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
172.70.242.24,2023-09-21,17:06:12 UTC,["necessary"],mobile,en,Instagram,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.110.13,2023-09-21,17:07:58 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.227.234,2023-09-21,17:08:43 UTC,["necessary"],mobile,en,Instagram,Android,India,MH,Maharashtra,Mumbai,,19.0759,72.8776
172.71.250.68,2023-09-21,17:24:12 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.94.60,2023-09-21,17:31:47 UTC,["necessary"],mobile,en,Instagram,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.69.87.35,2023-09-21,17:36:10 UTC,["necessary"],mobile,en,Instagram,Android,India,MH,Maharashtra,Mumbai,,19.0759,72.8776
108.162.226.204,2023-09-21,18:11:33 UTC,["necessary"],mobile,en,Instagram,Android,Singapore,03,North West,Singapore,858877,1.352,103.8198
162.158.22.101,2023-09-21,18:28:10 UTC,["necessary"],mobile,en,Instagram,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
172.70.147.40,2023-09-21,18:33:16 UTC,["necessary"],mobile,en,Instagram,Android,Singapore,03,North West,Singapore,858877,1.352,103.8198
172.70.142.17,2023-09-21,18:34:25 UTC,["necessary"],mobile,en,Chrome,Android,Singapore,03,North West,Singapore,858877,1.352,103.8198
162.158.110.163,2023-09-21,18:59:47 UTC,["necessary"],mobile,en,Instagram,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.251.53,2023-09-21,19:01:43 UTC,["necessary"],mobile,en,Chrome,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.242.248,2023-09-21,20:17:14 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.87.141,2023-09-21,20:19:50 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.22.100,2023-09-21,20:48:45 UTC,["necessary"],mobile,en,Instagram,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.111.35,2023-09-21,20:58:30 UTC,["necessary"],mobile,en,Instagram,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
188.114.102.228,2023-09-21,21:02:46 UTC,["necessary"],mobile,hi,Facebook,Android,Italy,25,Lombardy,Milan,,45.4642,9.1899
162.158.94.93,2023-09-21,21:09:08 UTC,["necessary"],mobile,en,Instagram,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
188.114.102.81,2023-09-21,21:30:51 UTC,["necessary"],mobile,en,Instagram,Android,Italy,25,Lombardy,Milan,,45.4642,9.1899
172.70.242.109,2023-09-21,21:34:06 UTC,["necessary"],mobile,en,Instagram,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.247.41,2023-09-21,21:53:30 UTC,["necessary"],mobile,en,Instagram,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.106.153,2023-09-21,21:56:19 UTC,["necessary"],mobile,en,Instagram,Android,Singapore,03,North West,Singapore,858877,1.352,103.8198
172.69.95.155,2023-09-21,22:01:50 UTC,["necessary"],mobile,en,Instagram,Android,India,MH,Maharashtra,Mumbai,,19.0759,72.8776
162.158.86.170,2023-09-21,22:03:08 UTC,["necessary"],mobile,en,Instagram,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.94.87,2023-09-21,22:10:50 UTC,["necessary"],mobile,en,Instagram,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.251.214,2023-09-21,22:16:45 UTC,["necessary"],mobile,en,Instagram,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.71.186.98,2023-09-22,00:08:13 UTC,["necessary"],mobile,en,Instagram,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
188.114.102.205,2023-09-22,00:11:19 UTC,["necessary"],desktop,en,Chrome,Windows,Italy,25,Lombardy,Milan,,45.4642,9.1899
172.70.250.102,2023-09-22,00:11:30 UTC,["necessary"],mobile,en,Instagram,iOS,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
188.114.102.243,2023-09-22,00:14:02 UTC,["necessary"],mobile,gu,Instagram,Android,Italy,25,Lombardy,Milan,,45.4642,9.1899
188.114.102.242,2023-09-22,00:18:05 UTC,["necessary"],mobile,en,Instagram,Android,Italy,25,Lombardy,Milan,,45.4642,9.1899
172.70.243.24,2023-09-22,00:25:51 UTC,["necessary"],mobile,en,Chrome,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.246.41,2023-09-22,00:26:02 UTC,["necessary"],mobile,en,Instagram,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.87.219,2023-09-22,00:28:48 UTC,["necessary"],mobile,en,Chrome,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.86.210,2023-09-22,00:30:30 UTC,["necessary"],mobile,en,Instagram,iOS,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.106.228,2023-09-22,00:30:42 UTC,["necessary"],mobile,en,Instagram,Android,Singapore,03,North West,Singapore,858877,1.352,103.8198
172.70.147.22,2023-09-22,00:32:06 UTC,["necessary"],mobile,en,Instagram,iOS,Singapore,03,North West,Singapore,858877,1.352,103.8198
172.70.93.20,2023-09-22,00:33:47 UTC,["necessary"],mobile,en,Instagram,Android,Singapore,03,North West,Singapore,858877,1.352,103.8198
162.158.22.181,2023-09-22,00:51:40 UTC,["necessary"],mobile,en,Samsung Internet,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
172.71.198.59,2023-09-22,01:18:14 UTC,["necessary"],mobile,en,Safari,iOS,India,MH,Maharashtra,Mumbai,,19.0759,72.8776
162.158.22.177,2023-09-22,01:19:36 UTC,["necessary"],mobile,hu,Facebook,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.86.73,2023-09-22,01:52:17 UTC,["necessary"],mobile,en,Instagram,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.94.156,2023-09-22,02:19:00 UTC,["necessary"],mobile,en,Instagram,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
